timestep	hpmc_d	lx	hpmc_boxmc_betaP	hpmc_overlap_count
0	0.05	24	1	0
2000	0.06813589829	23.85859412	1.09	0
4000	0.092817618	23.80839269	1.18	0
6000	0.1263991735	23.67378121	1.27	0
8000	0.1720732459	23.3286079	1.36	0
10000	0.2341267836	22.11677689	1.45	0
12000	0.3183415794	20.86771628	1.54	0
14000	0.4323459885	18.1309253	1.63	0
16000	0.5852337865	12.89306584	1.72	0
18000	0.7864155619	11.89838392	1.81	0
20000	1	11.93188979	1.9	0
22000	1	11.75187562	1.99	0
24000	1	11.6198615	2.08	0
26000	1	11.59922749	2.17	0
28000	1	11.44476878	2.26	0
30000	1	11.59394811	2.35	0
32000	1	11.49885616	2.44	0
34000	1	11.45504711	2.53	0
36000	1	11.04709369	2.62	0
38000	1	11.236445	2.71	0
40000	1	11.07417351	2.8	0
42000	1	11.28369535	2.89	0
44000	1	11.18508574	2.98	0
46000	1	11.24342375	3.07	0
48000	1	11.13263493	3.16	0
50000	1	11.09359496	3.25	0
52000	1	11.00529883	3.34	0
54000	1	10.63269493	3.43	0
56000	1	10.47174666	3.52	0
58000	1	10.75558328	3.61	0
60000	1	10.57380187	3.7	0
62000	1	10.57689889	3.79	0
64000	1	10.52055624	3.88	0
66000	1	10.65444741	3.97	0
68000	1	10.76876647	4.06	0
70000	1	10.58757907	4.15	0
72000	1	10.29941807	4.24	0
74000	1	10.62402653	4.33	0
76000	1	10.45004996	4.42	0
78000	1	10.54400213	4.51	0
80000	1	10.57003001	4.6	0
82000	1	10.28827022	4.69	0
84000	1	10.35072871	4.78	0
86000	1	10.36333319	4.87	0
88000	1	10.30061614	4.96	0
90000	1	10.21357377	5.05	0
92000	1	10.2767744	5.14	0
94000	1	10.21068304	5.23	0
96000	1	10.21385576	5.32	0
98000	1	10.05890057	5.41	0
100000	1	10.14604642	5.5	0
102000	1	9.937056205	5.59	0
104000	1	10.06434586	5.68	0
106000	0.9969325783	10.12059945	5.77	0
108000	0.9885431422	10.28330706	5.86	0
110000	0.9749357196	9.991678393	5.95	0
112000	0.9562158954	9.775939991	6.04	0
114000	0.9326549174	9.843634396	6.13	0
116000	0.9047854851	10.0179095	6.22	0
118000	0.8731481088	9.882135338	6.31	0
120000	0.8381581636	9.80274926	6.4	0
122000	0.8004813537	9.98793324	6.49	0
124000	0.7606632557	9.802634812	6.58	0
126000	0.7192831813	9.824098107	6.67	0
128000	0.6769080969	9.923480748	6.76	0
130000	0.6343159369	9.839669923	6.85	0
132000	0.5918649938	9.850045695	6.94	0
134000	0.5500070235	9.944682638	7.03	0
136000	0.5092498353	9.860179505	7.12	0
138000	0.469767541	9.584909887	7.21	0
140000	0.4319281306	9.844163797	7.3	0
142000	0.3960610126	9.786226808	7.39	0
144000	0.3623568313	9.781718466	7.48	0
146000	0.3309936618	9.880501904	7.57	0
148000	0.3021172461	9.778262761	7.66	0
150000	0.2757282682	9.68591059	7.75	0
152000	0.2517622926	9.489836697	7.84	0
154000	0.2299940574	9.441072568	7.93	0
156000	0.2103790423	9.39202681	8.02	0
158000	0.1928206061	9.441199154	8.11	0
160000	0.1771571597	9.391040436	8.2	0
162000	0.1632902637	9.461156207	8.29	0
164000	0.1510497018	9.335387242	8.38	0
166000	0.1403169044	9.395080438	8.47	0
168000	0.1309830996	9.311968401	8.56	0
170000	0.1227801603	9.126080087	8.65	0
172000	0.1156177968	9.180359201	8.74	0
174000	0.1094535027	9.164163703	8.83	0
176000	0.1041860682	9.297899443	8.92	0
178000	0.09972253641	9.236160386	9.01	0
180000	0.0960347397	9.34020595	9.1	0
182000	0.0930427779	9.318646593	9.19	0
184000	0.09064838425	9.193097154	9.28	0
186000	0.08878967979	9.196064936	9.37	0
188000	0.08743710671	9.224950403	9.46	0
190000	0.08654774155	9.201454981	9.55	0
192000	0.08607575755	9.154810734	9.64	0
194000	0.08604256339	9.308895533	9.73	0
196000	0.08640271227	9.182108205	9.82	0
198000	0.08709032581	9.036420089	9.91	0
